[0330/155550.042:ERROR:process_info.cc(329)] VirtualQueryEx: Acceso denegado. (0x5)
[0330/155550.047:ERROR:process_info.cc(556)] ReadMemoryInfo failed
[0330/155550.047:ERROR:process_memory_win.cc(39)] Failed to initialize ProcessInfo.
[0330/155550.047:ERROR:scoped_process_suspend.cc(40)] NtResumeProcess: Se intentó obtener acceso a un proceso que está cerrándose. (0xc000010a)
[0407/124507.287:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/133132.988:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/134744.440:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/135430.059:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/140357.378:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/141230.154:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/142009.164:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/142314.582:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/143230.775:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/164640.155:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/170447.590:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/171006.818:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/180836.629:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/181142.511:ERROR:crash_report_database_win.cc(428)] unexpected header
[0407/181848.484:ERROR:crash_report_database_win.cc(428)] unexpected header
[0408/062648.008:ERROR:crash_report_database_win.cc(428)] unexpected header
[0408/063648.015:ERROR:crash_report_database_win.cc(428)] unexpected header
[0408/063648.016:ERROR:crash_report_database_win.cc(428)] unexpected header
[0408/064148.009:ERROR:crash_report_database_win.cc(428)] unexpected header
[0408/065648.010:ERROR:crash_report_database_win.cc(428)] unexpected header
[0408/071148.012:ERROR:crash_report_database_win.cc(428)] unexpected header
[0408/072648.015:ERROR:crash_report_database_win.cc(428)] unexpected header
[0408/074148.016:ERROR:crash_report_database_win.cc(428)] unexpected header
